section,facet,order,label,isForm,key,width,sortable,filterable,formatter
details,withdrawals,Withdrawal Details,3,Validator Index,false,validatorIndex,
details,withdrawals,Withdrawal Details,4,Withdrawal Index,false,index,
details,assets,Asset Information,1,Contract Address,false,address,address
details,assets,Asset Information,2,Holder,false,holder,address
details,assets,Asset Information,3,Token Name,false,name,
details,assets,Asset Information,4,Symbol,false,symbol,
details,assets,Asset Information,5,Decimals,false,decimals,
details,assets,Asset Information,6,Total Supply,false,totalSupply,wei
details,assets,Asset Classification,7,Source,false,source,
details,assets,Asset Classification,8,Tags,false,tags,
details,assets,Asset Classification,9,Is Contract,false,isContract,
details,assets,Asset Classification,10,Is Custom,false,isCustom,
details,assets,Asset Classification,11,Is ERC20,false,isErc20,
details,assets,Asset Classification,12,Is ERC721,false,isErc721,
details,assets,Asset Classification,13,Is Prefund,false,isPrefund,
details,assets,Asset Classification,14,Deleted,false,deleted,
details,assets,Additional Data,15,Parts,false,parts,
details,assets,Additional Data,16,Prefund Amount,false,prefund,wei
details,logs,Transaction Context,8,Block Number,false,blockNumber,
details,logs,Transaction Context,9,Block Hash,false,blockHash,hash
details,logs,Transaction Context,10,Transaction Hash,false,transactionHash,hash
details,logs,Transaction Context,11,Transaction Index,false,transactionIndex,
details,logs,Transaction Context,12,Timestamp,false,timestamp,datetime
details,logs,Log Overview,1,Contract Address,false,address,address
details,logs,Log Overview,2,Data,false,data,
details,logs,Log Overview,3,Log Index,false,logIndex,
details,logs,Topics,4,Topic 0 (Event Signature),false,topic0,hash
details,logs,Topics,5,Topic 1,false,topic1,hash
details,logs,Topics,6,Topic 2,false,topic2,hash
details,logs,Topics,7,Topic 3,false,topic3,hash
details,logs,Articulated Information,13,Articulated Log,false,articulatedLog,json
details,logs,Articulated Information,14,Compressed Log,false,compressedLog,
details,traces,Transaction Context,15,Block Number,false,blockNumber,
details,traces,Transaction Context,16,Block Hash,false,blockHash,hash
details,traces,Transaction Context,17,Transaction Hash,false,transactionHash,hash
details,traces,Transaction Context,18,Transaction Index,false,transactionIndex,
details,traces,Transaction Context,19,Timestamp,false,timestamp,datetime
details,traces,Transaction Context,20,Trace Index,false,traceIndex,
details,traces,Trace Action,5,From,false,from,address
details,traces,Trace Action,6,To,false,to,address
details,traces,Trace Action,7,Value,false,value,wei
details,traces,Trace Action,8,Gas Limit,false,gas,
details,traces,Trace Action,9,Call Type,false,callType,
details,traces,Trace Action,10,Input Data,false,input,
details,traces,Trace Overview,1,Trace Type,false,type,
details,traces,Trace Overview,2,Error,false,error,
details,traces,Trace Overview,3,Subtraces Count,false,subtraces,
details,traces,Trace Overview,4,Trace Address,false,traceAddress,
details,traces,Trace Result,11,Gas Used,false,gasUsed,gas
details,traces,Trace Result,12,Output,false,output,
details,traces,Trace Result,13,Created Address,false,address,address
details,traces,Trace Result,14,Code,false,code,
details,traces,Articulated Information,21,Articulated Trace,false,articulatedTrace,json
details,traces,Articulated Information,22,Compressed Trace,false,compressedTrace,
details,receipts,Block Context,11,Block Number,false,blockNumber,
details,receipts,Block Context,12,Block Hash,false,blockHash,hash
details,receipts,Transaction Details,5,From,false,from,address
details,receipts,Transaction Details,6,To,false,to,address
details,receipts,Transaction Details,7,Transaction Index,false,transactionIndex,
details,receipts,Receipt Overview,1,Transaction Hash,false,transactionHash,hash
details,receipts,Receipt Overview,2,Status,false,status,
details,receipts,Receipt Overview,3,Is Error,false,isError,
details,receipts,Receipt Overview,4,Contract Address,false,contractAddress,address
details,receipts,Gas Information,8,Gas Used,false,gasUsed,gas
details,receipts,Gas Information,9,Cumulative Gas Used,false,cumulativeGasUsed,gas
details,receipts,Gas Information,10,Effective Gas Price,false,effectiveGasPrice,gas
details,receipts,Additional Information,13,Logs Bloom,false,logsBloom,
details,receipts,Additional Information,14,Log Count,false,logs,
